anime_id,name,genre,type,episodes,rating,members
9989,"Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.",2744,6,11,8.62,463835
24415,"Kuroko no Basket 3rd Season",2308,6,25,8.62,184525
11577,"Steins;Gate Movie: Fuka Ryouiki no Déjà vu",3241,1,1,8.61,192424
10408,"Hotarubi no Mori e",2700,1,1,8.61,197439
28171,"Shokugeki no Souma",2774,6,24,8.61,348951
32995,"Yuri!!! on Ice",2353,6,12,8.61,103178
21899,"Gintama: Yorinuki Gintama-san on Theater 2D",535,1,2,8.6,11104
26055,"JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season",208,6,24,8.6,93657
7472,"Gintama Movie: Shinyaku Benizakura-hen",535,1,1,8.59,51185
777,"Hellsing Ultimate",995,4,10,8.59,297454
22535,"Kiseijuu: Sei no Kakuritsu",760,6,24,8.59,425457
28735,"Shouwa Genroku Rakugo Shinjuu",2527,6,13,8.59,71295
12431,"Uchuu Kyoudai",2320,6,99,8.59,72958
28805,"Bakemono no Ko",1659,1,1,8.58,80825
578,"Hotaru no Haka",2525,1,1,8.58,174878
16894,"Kuroko no Basket 2nd Season",2308,6,25,8.58,243325
5028,"Major S5",1814,6,25,8.58,28653
21,"One Piece",22,6,-1,8.58,504862
801,"Ghost in the Shell: Stand Alone Complex 2nd GIG",1057,6,26,8.57,113993
31933,"JoJo no Kimyou na Bouken: Diamond wa Kudakenai",39,6,39,8.57,74074
5205,"Kara no Kyoukai 7: Satsujin Kousatsu (Kou)",1125,1,1,8.57,95658
17389,"Kingdom 2nd Season",976,6,39,8.57,31234
170,"Slam Dunk",1819,6,101,8.56,82570
10162,"Usagi Drop",3022,6,11,8.56,194855
18617,"Girls und Panzer der Film",3113,1,1,8.55,25641
32182,"Mob Psycho 100",650,6,12,8.55,193716
877,"Nana",1771,6,47,8.55,197256
2251,"Baccano!",534,6,13,8.54,363215
24687,"Mushishi Zoku Shou: Odoro no Michi",1527,5,1,8.54,34011
16498,"Shingeki no Kyojin",733,6,25,8.54,896229
10030,"Bakuman. 2nd Season",1808,6,25,8.53,151561
5941,"Cross Game",1798,6,50,8.53,53108
30346,"Doukyuusei (Movie)",3200,1,1,8.53,28864
3784,"Evangelion: 2.0 You Can (Not) Advance",1090,1,1,8.53,182224
13125,"Shinsekai yori",2568,6,25,8.53,288376
12029,"Uchuu Senkan Yamato 2199",799,4,26,8.53,44223
14397,"Chihayafuru 2",2503,6,25,8.52,86074
10087,"Fate/Zero",938,6,13,8.51,453630
14719,"JoJo no Kimyou na Bouken (TV)",366,6,26,8.51,190197
9756,"Mahou Shoujo Madoka★Magica",2591,6,12,8.51,462974
10165,"Nichijou",2311,6,26,8.52,254436
13601,"Psycho-Pass",1138,6,22,8.5,509109
22789,"Barakamon",2350,6,12,8.5,225927
30230,"Diamond no Ace: Second Season",2308,6,51,8.5,38531
18115,"Magi: The Kingdom of Magic",247,6,25,8.5,245026
11981,"Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari",2591,1,1,8.5,135735
11917,"Major: World Series",1831,4,2,8.5,13405
205,"Samurai Champloo",92,6,26,8.5,390076
32282,"Shokugeki no Souma: Ni no Sara",2774,6,13,8.5,185015
6594,"Katanagatari",276,6,12,8.49,207241
11979,"Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari",2591,1,1,8.49,85361
7655,"Major S6",1831,6,25,8.49,24788
2246,"Mononoke",2405,6,12,8.49,88850
25835,"Shirobako",1708,6,24,8.49,146895
2921,"Ashita no Joe 2",2745,6,47,8.48,6259
136,"Hunter x Hunter",364,6,62,8.48,166255
30503,"Noragami Aragoto",365,6,13,8.48,299434
12531,"Sakamichi no Apollon",2575,6,12,8.48,146592
523,"Tonari no Totoro",1399,1,1,8.48,271484
467,"Ghost in the Shell: Stand Alone Complex",1060,6,26,8.47,194491
572,"Kaze no Tani no Nausicaä",1511,1,1,8.47,143273
19815,"No Game No Life",1253,6,12,8.47,602291
2559,"Romeo no Aoi Sora",1464,6,33,8.47,15074
392,"Yuu☆Yuu☆Hakusho",390,6,112,8.47,195017
486,"Kino no Tabi: The Beautiful World",367,6,13,8.46,102822
11771,"Kuroko no Basket",2308,6,25,8.46,338315
1698,"Nodame Cantabile",1759,6,23,8.46,157025
5341,"Ookami to Koushinryou II",1528,6,12,8.46,210491
25781,"Shingeki no Kyojin: Kuinaki Sentaku",930,4,2,8.45,92543
10863,"Steins;Gate: Oukoubakko no Poriomania",3241,5,1,8.46,159548
28701,"Fate/stay night: Unlimited Blade Works 2nd Season",905,6,13,8.45,205987
5420,"Kemono no Souja Erin",2448,6,50,8.45,36751
9260,"Kizumonogatari I: Tekketsu-hen",3176,1,1,8.45,99579
32,"Neon Genesis Evangelion: The End of Evangelion",2366,1,1,8.45,215630
4224,"Toradora!",2263,6,25,8.45,633817
2236,"Toki wo Kakeru Shoujo",1495,1,1,8.44,289206
2685,"Tsubasa: Tokyo Revelations",168,4,3,8.44,57963
31181,"Owarimonogatari",2213,6,12,8.43,107855
45,"Rurouni Kenshin: Meiji Kenkaku Romantan",91,6,94,8.43,218928
2418,"Stranger: Mukou Hadan",280,1,1,8.43,125503
1365,"Detective Conan Movie 06: The Phantom of Baker Street",1632,1,1,8.42,28462
22297,"Fate/stay night: Unlimited Blade Works",905,6,12,8.42,267484
627,"Major S1",1828,6,26,8.42,41061
10937,"Mobile Suit Gundam: The Origin",1064,4,6,8.42,15420
23755,"Nanatsu no Taizai",212,6,24,8.42,331627
4081,"Natsume Yuujinchou",2499,6,13,8.42,210736
4155,"One Piece Film: Strong World",21,1,1,8.42,85020
1889,"Higurashi no Naku Koro ni Kai",3155,6,24,8.41,218101
137,"Hunter x Hunter OVA",364,4,8,8.41,53168
139,"Hunter x Hunter: Greed Island Final",364,4,14,8.41,55787
23317,"Kuroshitsuji: Book of Murder",1696,4,2,8.41,67261
558,"Major S2",1828,6,26,8.41,30689
5040,"One Outs",3191,6,25,8.41,83056
57,"Beck",1773,6,26,8.4,148328
33,"Berserk",137,6,25,8.4,226430
5,"Cowboy Bebop: Tengoku no Tobira",805,1,1,8.4,137636
1842,"Major S3",2741,6,26,8.4,29528
6336,"Mobile Suit Gundam Unicorn",777,4,7,8.4,42076
20651,"Natsume Yuujinchou: Itsuka Yuki no Hi ni",2499,4,1,8.4,28302
1210,"NHK ni Youkoso!",1784,6,24,8.4,291228
338,"Rose of Versailles",1461,6,40,8.4,32188
13759,"Sakurasou no Pet na Kanojo",1796,6,24,8.4,380375
6547,"Angel Beats!",430,6,13,8.39,717796
5081,"Bakemonogatari",3158,6,15,8.39,482268
32867,"Bungou Stray Dogs 2nd Season",3169,6,12,8.39,83641
264,"Hajime no Ippo: Champion Road",2348,5,1,8.39,47840
12859,"One Piece Film: Z",21,1,1,8.39,76051
853,"Ouran Koukou Host Club",2050,6,26,8.39,422271
5460,"Detective Conan Movie 13: The Raven Chaser",1122,1,1,8.38,21798
6746,"Durarara!!",1133,6,24,8.38,556431
5690,"Nodame Cantabile Finale",2100,6,11,8.38,67697
329,"Planetes",2690,6,26,8.38,105044
34240,"Shelter",3128,2,1,8.38,71136
513,"Tenkuu no Shiro Laputa",1559,1,1,8.38,151061
6945,"Gintama: Shiroyasha Koutan",537,5,1,8.37,27213
1142,"Hachimitsu to Clover II",2576,6,12,8.37,61493
6811,"InuYasha: Kanketsu-hen",9,6,26,8.37,99128
16664,"Kaguya-hime no Monogatari",2797,1,1,8.37,45547
1604,"Katekyo Hitman Reborn!",647,6,203,8.37,258103
22145,"Kuroshitsuji: Book of Circus",1698,6,10,8.37,122895
2966,"Ookami to Koushinryou",1528,6,13,8.37,334932
31964,"Boku no Hero Academia",633,6,13,8.36,282002
19363,"Gin no Saji 2nd Season",2307,6,11,8.36,67032
18195,"Little Busters!: Refrain",1797,6,13,8.36,71820
9890,"Major: Message",1831,4,1,8.36,12282
9130,"Saint Seiya: The Lost Canvas - Meiou Shinwa 2",311,4,13,8.36,27532
9863,"SKET Dance",2306,6,77,8.36,101027
7674,"Bakuman.",2280,6,25,8.35,246899
11843,"Danshi Koukousei no Nichijou",2307,6,12,8.35,258914
16782,"Kotonoha no Niwa",2669,1,1,8.35,189741
28675,"Kyoukai no Kanata Movie: I&#039;ll Be Here - Mirai-hen",2869,1,1,8.35,59815
3226,"Major S4",1828,6,26,8.35,28002
21557,"Omoide no Marnie",2649,1,1,8.35,53590
31715,"Working!!!: Lord of the Takanashi",2285,5,1,8.34,31856
43,"Ghost in the Shell",1081,1,1,8.34,223036
9617,"K-On! Movie",2196,1,1,8.34,115252
31051,"Kuroko no Basket: Saikou no Present Desu",1157,5,1,8.34,22900
10153,"Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s",414,1,1,8.34,13315
1033,"Sennen Joyuu",156,1,1,8.34,58492
32188,"Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero",3241,5,1,8.34,38147
3091,"xxxHOLiC Kei",1779,6,13,8.34,74941
12115,"Berserk: Ougon Jidai-hen III - Kourin",138,1,1,8.33,65594
28223,"Death Parade",2505,6,12,8.33,383914
121,"Fullmetal Alchemist",19,6,51,8.33,600384
3002,"Gyakkyou Burai Kaiji: Ultimate Survivor",2881,6,26,8.33,98996
138,"Hunter x Hunter: Greed Island",364,4,8,8.33,57029
6675,"Redline",379,1,1,8.33,109392
10800,"Chihayafuru",2503,6,25,8.32,158561
32005,"Detective Conan Movie 20: The Darkest Nightmare",1122,1,1,8.32,6229
813,"Dragon Ball Z",71,6,291,8.32,375662
27821,"Fate/stay night: Unlimited Blade Works - Prologue",905,5,1,8.32,106382
28725,"Kokoro ga Sakebitagatterunda.",2675,1,1,8.32,59652
585,"Mimi wo Sumaseba",1445,1,1,8.32,94435
16067,"Nagi no Asukara",2487,6,26,8.32,224947
30,"Neon Genesis Evangelion",655,6,26,8.32,461946
31490,"One Piece Film: Gold",21,1,1,8.32,18642
759,"Tokyo Godfathers",1708,1,1,8.32,89424
6,"Trigun",639,6,26,8.32,283069
6864,"xxxHOLiC Rou",3174,4,2,8.32,36353
9735,"Gintama: Shinyaku Benizakura-hen",535,5,1,8.31,14002
11977,"Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari",2591,1,1,8.31,88164
11123,"Sekaiichi Hatsukoi 2",1809,6,12,8.31,69253
23847,"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku",1788,6,13,8.31,222994
33161,"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA",2249,4,1,8.31,35120
962,"Aria The Natural",2860,6,26,8.3,39596
1519,"Black Lagoon: The Second Barrage",1177,6,12,8.3,203233
2167,"Clannad",1797,6,23,8.3,566690
16706,"Kami nomi zo Shiru Sekai: Megami-hen",2056,6,12,8.3,142612
5681,"Summer Wars",2317,1,1,8.3,223359
3901,"Baccano! Specials",534,5,3,8.29,100412
6467,"Detective Conan Movie 14: The Lost Ship in the Sky",1122,1,1,8.29,20602
10271,"Gyakkyou Burai Kaiji: Hakairoku-hen",2881,6,26,8.29,55566
22507,"Initial D Final Stage",1674,6,4,8.29,19702
3701,"Kaiba",1633,6,12,8.29,56927
19123,"One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari",22,5,1,8.29,17247
33255,"Saiki Kusuo no Ψ-nan (TV)",2310,6,120,8.29,47092
372,"Cardcaptor Sakura Movie 2: Fuuin Sareta Card",1735,1,1,8.28,60637
265,"Hajime no Ippo: Mashiba vs. Kimura",2348,4,1,8.28,40623
25681,"Kamisama Hajimemashita◎",1700,6,12,8.28,91796
4722,"Skip Beat!",1804,6,25,8.28,134818
24277,"Yowamushi Pedal: Grande Road",1828,6,24,8.28,50778
239,"Gankutsuou",2659,6,24,8.27,103828
512,"Majo no Takkyuubin",1224,1,1,8.27,152331
4477,"Nodame Cantabile: Paris-hen",2101,6,11,8.27,70822
15323,"One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna",22,5,1,8.27,24707
31174,"Osomatsu-san",2215,6,25,8.27,60988
23327,"Space☆Dandy 2nd Season",2330,6,13,8.27,60918
5365,"Tsumiki no Ie",2438,1,1,8.27,45189
3702,"Detroit Metal City",2188,4,12,8.26,104893
3167,"Eve no Jikan",3237,3,6,8.26,99074
7465,"Eve no Jikan (Movie)",3237,1,1,8.26,66376
7054,"Kaichou wa Maid-sama!",2256,6,26,8.26,391628
1257,"Saint Seiya: Meiou Hades Juuni Kyuu-hen",1645,4,13,8.26,23701
23283,"Zankyou no Terror",3192,6,11,8.26,342893
2025,"Darker than Black: Kuro no Keiyakusha",1127,6,25,8.25,440334
235,"Detective Conan",1378,6,-1,8.25,114702
1364,"Detective Conan Movie 05: Countdown to Heaven",1378,1,1,8.25,25432
18689,"Diamond no Ace",2308,6,75,8.25,81384
22043,"Fairy Tail (2014)",68,6,102,8.25,255076
31988,"Hibike! Euphonium 2",2637,6,13,8.25,47716
20899,"JoJo no Kimyou na Bouken: Stardust Crusaders",208,6,24,8.25,120089
1453,"Maison Ikkoku",1813,6,96,8.25,22079
23623,"Non Non Biyori Repeat",2298,6,12,8.26,64230
1559,"Shijou Saikyou no Deshi Kenichi",568,6,50,8.25,129112
1382,"Yuusha-Ou GaoGaiGar Final",1481,4,8,8.25,5001
23289,"Gekkan Shoujo Nozaki-kun",2249,6,12,8.24,292622
18,"Initial D Fourth Stage",375,6,24,8.24,41584
4814,"Junjou Romantica 2",1809,6,12,8.24,87617
16662,"Kaze Tachinu",2545,1,1,8.24,75359
12031,"Kingdom",976,6,38,8.24,54211
8129,"Kuragehime",2104,6,11,8.24,108053
14513,"Magi: The Labyrinth of Magic",247,6,25,8.24,317513
2581,"Mobile Suit Gundam 00",777,6,25,8.24,120351
30015,"ReLIFE",3202,6,13,8.24,202249
6171,"Saint Seiya: The Lost Canvas - Meiou Shinwa",311,4,13,8.24,40355
1827,"Seirei no Moribito",227,6,26,8.24,106888
25013,"Akatsuki no Yona",77,6,24,8.23,216674
1367,"Detective Conan Movie 08: Magician of the Silver Sky",1378,1,1,8.23,23130
27833,"Durarara!!x2 Ketsu",1133,6,12,8.23,115295
26213,"Free!: Eternal Summer Special",2311,5,1,8.23,36091
1974,"Glass no Kamen (2005)",2733,6,51,8.23,17038
8425,"Gosick",2542,6,24,8.23,232113
12069,"Hajime no Ippo: Boxer no Kobushi",1828,5,1,8.23,20157
185,"Initial D First Stage",375,6,26,8.23,68128
18679,"Kill la Kill",637,6,24,8.23,508118
2034,"Lovely★Complex",2277,6,24,8.23,235003
437,"Perfect Blue",2365,1,1,8.23,117565
721,"Princess Tutu",1990,6,38,8.23,73218
12477,"Sakasama no Patema",3233,1,1,8.23,89749
4938,"Tsubasa: Shunraiki",163,4,2,8.23,40420
2402,"Ashita no Joe",2745,6,79,8.22,15442
6702,"Fairy Tail",68,6,175,8.22,584590
1566,"Ghost in the Shell: Stand Alone Complex - Solid State Society",3081,5,1,8.22,55247
31741,"Magi: Sinbad no Bouken (TV)",247,6,13,8.22,73480
440,"Shoujo Kakumei Utena",2483,6,39,8.22,77464
4107,"Tengen Toppa Gurren Lagann Movie: Gurren-hen",574,1,1,8.22,72933
1506,"Detective Conan Movie 10: Requiem of the Detectives",1378,1,1,8.21,21789
2759,"Evangelion: 1.0 You Are (Not) Alone",1090,1,1,8.21,194561
72,"Full Metal Panic? Fumoffu",627,6,12,8.21,171086
3016,"Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture",799,1,1,8.21,11808
3783,"Kara no Kyoukai 3: Tsuukaku Zanryuu",810,1,1,8.21,108720
3927,"Mobile Suit Gundam 00 Second Season",777,6,25,8.21,86972
11597,"Nisemonogatari",2213,6,11,8.21,260062
28025,"Tsukimonogatari",2213,6,4,8.21,111009
24833,"Ansatsu Kyoushitsu (TV)",631,6,22,8.2,312654
29893,"Aria The Avvenire",2860,5,3,8.2,9500
27663,"Baby Steps 2nd Season",3201,6,25,8.2,36251
1482,"D.Gray-man",130,6,103,8.2,334399
3371,"Ginga Eiyuu Densetsu Gaiden: Senoku no Hoshi, Senoku no Hikari",1114,4,24,8.2,8621
25313,"Gintama: Jump Festa 2014 Special",535,5,1,8.2,13764
1430,"Lupin III: Cagliostro no Shiro",1392,1,1,8.2,32732
33051,"Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season",789,6,25,8.2,21210
7720,"Ookiku Furikabutte: Natsu no Taikai-hen",2353,6,13,8.2,22190
1914,"Saiunkoku Monogatari 2nd Season",1220,6,39,8.2,23160
20371,"Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai",1809,1,1,8.2,23045
15039,"Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie",2744,1,1,8.19,95241
2164,"Dennou Coil",1248,6,26,8.19,76860
237,"Eureka Seven",1478,6,50,8.19,239570
2449,"Ghost in the Shell: Stand Alone Complex - The Laughing Man",1074,5,1,8.19,21435
10643,"Gintama: Dai Hanseikai",607,5,1,8.19,14728
17739,"Hidamari Sketch: Sae Hiro Sotsugyou-hen",2311,4,2,8.19,5959
135,"Hikaru no Go",2033,6,75,8.19,69000
6045,"Kimi ni Todoke",3198,6,25,8.19,309339
16001,"Kokoro Connect: Michi Random",1797,5,4,8.19,106989
6211,"Tokyo Magnitude 8.0",2438,6,11,8.19,121349
232,"Cardcaptor Sakura",1225,6,70,8.18,181249
4789,"ef: A Tale of Melodies.",2655,6,12,8.18,103657
16918,"Gin no Saji",2307,6,11,8.18,116261
16,"Hachimitsu to Clover",1760,6,24,8.18,130646
1486,"Kodomo no Omocha (TV)",1804,6,102,8.18,27893
24997,"Love Live! The School Idol Movie",3127,1,1,8.18,38118
32902,"Mahoutsukai no Yome: Hoshi Matsu Hito",2826,4,3,8.18,43372
8063,"Sekaiichi Hatsukoi OVA",1809,4,2,8.18,35225
25879,"Working!!!",2285,6,13,8.18,80763
889,"Black Lagoon",1177,6,12,8.17,332562
21419,"Detective Conan Movie 18: The Sniper from Another Dimension",1122,1,1,8.17,12151
2952,"Final Fantasy VII: Advent Children Complete",936,4,1,8.17,77111
934,"Higurashi no Naku Koro ni",2994,6,26,8.17,359494
12189,"Hyouka",3161,6,22,8.17,372246
731,"Interstella5555: The 5tory of The 5ecret 5tar 5ystem",1486,2,1,8.17,31464
1530,"Kanon (2006)",2704,6,24,8.17,163171
9656,"Kimi ni Todoke 2nd Season",3198,6,12,8.17,171866
20507,"Noragami",365,6,12,8.17,515378
31149,"Persona 3 the Movie 4: Winter of Rebirth",929,1,1,8.17,13359
4918,"xxxHOLiC Shunmuki",1779,4,2,8.17,40401
14075,"Zetsuen no Tempest",720,6,24,8.17,259900
4772,"Aria The Origination: Sono Choppiri Himitsu no Basho ni...",2346,5,1,8.16,11961
781,"Detective Conan Movie 03: The Last Wizard of the Century",1378,1,1,8.16,26799
1363,"Detective Conan Movie 04: Captured in Her Eyes",1378,1,1,8.16,25461
223,"Dragon Ball",1305,6,153,8.16,316102
2004,"Hanada Shounen-shi",1830,6,25,8.16,6321
25649,"Junjou Romantica 3",1809,6,12,8.16,39866
153,"Juuni Kokuki",249,6,45,8.16,66646
5029,"Major Movie: Yuujou no Winning Shot",1185,1,1,8.16,9943
302,"Mirai Shounen Conan",1497,6,26,8.16,15557
8740,"One Piece Film: Strong World Episode 0",85,4,1,8.16,33862
5682,"Phantom: Requiem for the Phantom",830,6,26,8.16,159105
21647,"Tamako Love Story",2285,1,1,8.16,72708
16049,"Toaru Kagaku no Railgun S",1175,6,24,8.16,137105
1065,"Touch",2685,6,101,8.16,12833
18179,"Yowamushi Pedal",1828,6,38,8.16,91138
47,"Akira",288,1,1,8.15,215897
4901,"Black Lagoon: Roberta&#039;s Blood Trail",1177,4,5,8.15,108099
23199,"Durarara!!x2 Shou",1133,6,12,8.15,189407
32122,"Gintama: Jump Festa 2015 Special",536,5,1,8.15,7923
30415,"High☆Speed!: Free! Starting Days",3227,1,1,8.15,24310
851,"Kyou kara Ore wa!!",2344,4,10,8.15,7954
10049,"Nurarihyon no Mago: Sennen Makyou",707,6,24,8.15,75612
1943,"Paprika",2809,1,1,8.15,163308
4053,"Prince of Tennis: The National Tournament Finals",2308,4,7,8.15,21020
846,"School Rumble Ni Gakki",2260,6,26,8.15,93095
9926,"Sekaiichi Hatsukoi",1809,6,12,8.15,94820
31173,"Akagami no Shirayuki-hime 2nd Season",2492,6,12,8.14,80862
4059,"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",2686,5,1,8.14,160423
589,"Ginga Nagareboshi Gin",207,6,21,8.14,10575
15059,"Initial D Fifth Stage",375,6,14,8.14,26711
7791,"K-On!!",2192,6,26,8.14,246276
17265,"Log Horizon",221,6,25,8.14,387100
20815,"Sekaiichi Hatsukoi: Valentine-hen",2281,1,1,8.14,13454
535,"Slayers Next",1207,6,26,8.14,39832
2563,"Aria The OVA: Arietta",2860,4,1,8.13,20629
9963,"Detective Conan Movie 15: Quarter of Silence",1378,1,1,8.13,17165
32551,"Digimon Adventure tri. 3: Kokuhaku",14,1,1,8.13,20989
2951,"Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi",531,5,1,8.13,29331
2762,"Igano Kabamaru",1387,6,24,8.13,5063
14713,"Kamisama Hajimemashita",1700,6,13,8.13,189641
14807,"Kara no Kyoukai: Mirai Fukuin",2660,1,1,8.13,41168
81,"Mobile Suit Gundam: The 08th MS Team",1474,4,12,8.13,34177
9204,"Omae Umasou da na",233,1,1,8.13,6645
31098,"Ushio to Tora (TV) 2nd Season",1706,6,13,8.13,43916
1023,"Wolf&#039;s Rain OVA",1493,4,4,8.13,37679
33253,"Ajin 2nd Season",998,6,13,8.12,51382
24921,"Aoki Hagane no Arpeggio: Ars Nova Cadenza",1161,1,1,8.12,12353
1471,"City Hunter 2",600,6,63,8.12,8199
27831,"Durarara!!x2 Ten",1133,6,12,8.12,132506
2924,"ef: A Tale of Memories.",2651,6,12,8.12,151106
4672,"Ghost in the Shell 2.0",1081,1,1,8.12,51789
2448,"Ghost in the Shell: Stand Alone Complex 2nd GIG - Individual Eleven",1090,5,1,8.12,16614
3907,"Ginga Sengoku Gunyuuden Rai",1641,6,52,8.12,5308
186,"Initial D Second Stage",375,6,13,8.12,45825
10080,"Kami nomi zo Shiru Sekai II",2056,6,12,8.12,194300
30885,"Noragami Aragoto OVA",363,4,2,8.12,58075
21469,"Stand By Me Doraemon",2125,1,1,8.12,5712
9941,"Tiger &amp; Bunny",602,6,25,8.12,104075
14813,"Yahari Ore no Seishun Love Comedy wa Machigatteiru.",1788,6,13,8.12,353876
6421,"Fullmetal Alchemist: Brotherhood Specials",1437,5,4,8.11,67962
21855,"Hanamonogatari",2213,6,5,8.11,124886
11739,"Kimi to Boku. 2",1794,6,13,8.11,44564
2159,"Ookiku Furikabutte",2353,6,25,8.11,49599
28297,"Ore Monogatari!!",2277,6,24,8.11,200833
29831,"Tamayura: Sotsugyou Shashin Part 4 - Ashita",1829,1,1,8.1,3187
2154,"Tekkon Kinkreet",346,1,1,8.11,46018
6505,"There She Is!!",2248,3,5,8.11,13935
861,"xxxHOLiC",1779,6,24,8.11,150872
1689,"Byousoku 5 Centimeter",2703,1,3,8.1,324035
34103,"Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen",996,5,1,8.1,29969
3665,"Ginga Eiyuu Densetsu Gaiden: Rasen Meikyuu",2624,4,28,8.1,7712
9996,"Hyouge Mono",2974,6,39,8.1,10649
7711,"Karigurashi no Arrietty",2780,1,1,8.1,97910
77,"Mahou Shoujo Lyrical Nanoha A&#039;s",414,6,13,8.1,41685
401,"Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen",2546,4,2,8.1,49454
32093,"Tanaka-kun wa Itsumo Kedaruge",2311,6,12,8.1,101335
12113,"Berserk: Ougon Jidai-hen II - Doldrey Kouryaku",138,1,1,8.09,66721
7338,"Darker than Black: Kuro no Keiyakusha Gaiden",1127,5,4,8.09,136135
